_id,Tweet_Content,User
65e26f1edf0509d4cae68904,This is a negative synthetic tweet about #googlegemini.,user_614
65e26f1edf0509d4cae68905,This is a neutral synthetic tweet about #googlegemini.,user_924
65e26f1edf0509d4cae68906,This is a neutral synthetic tweet about #googlegemini.,user_209
65e26f1edf0509d4cae68907,This is a neutral synthetic tweet about #googlegemini.,user_883
65e26f1edf0509d4cae68908,This is a positive synthetic tweet about #googlegemini.,user_856
65e26f1edf0509d4cae68909,This is a neutral synthetic tweet about #googlegemini.,user_396
65e26f1edf0509d4cae6890a,This is a negative synthetic tweet about #googlegemini.,user_961
65e26f1edf0509d4cae6890b,This is a negative synthetic tweet about #googlegemini.,user_997
65e26f1edf0509d4cae6890c,This is a neutral synthetic tweet about #googlegemini.,user_789
65e26f1edf0509d4cae6890d,This is a positive synthetic tweet about #googlegemini.,user_274
65e26f1edf0509d4cae6890e,This is a positive synthetic tweet about #googlegemini.,user_355
65e26f1edf0509d4cae6890f,This is a negative synthetic tweet about #googlegemini.,user_144
65e26f1edf0509d4cae68910,This is a neutral synthetic tweet about #googlegemini.,user_898
65e26f1edf0509d4cae68911,This is a neutral synthetic tweet about #googlegemini.,user_93
65e26f1edf0509d4cae68912,This is a neutral synthetic tweet about #googlegemini.,user_707
65e26f1edf0509d4cae68913,This is a negative synthetic tweet about #googlegemini.,user_294
65e26f1edf0509d4cae68914,This is a negative synthetic tweet about #googlegemini.,user_782
65e26f1edf0509d4cae68915,This is a negative synthetic tweet about #googlegemini.,user_219
65e26f1edf0509d4cae68916,This is a positive synthetic tweet about #googlegemini.,user_735
65e26f1edf0509d4cae68917,This is a positive synthetic tweet about #googlegemini.,user_934
65e26f1edf0509d4cae68918,This is a positive synthetic tweet about #googlegemini.,user_693
65e26f1edf0509d4cae68919,This is a positive synthetic tweet about #googlegemini.,user_602
65e26f1edf0509d4cae6891a,This is a negative synthetic tweet about #googlegemini.,user_162
65e26f1edf0509d4cae6891b,This is a negative synthetic tweet about #googlegemini.,user_650
65e26f1edf0509d4cae6891c,This is a negative synthetic tweet about #googlegemini.,user_995
65e26f1edf0509d4cae6891d,This is a negative synthetic tweet about #googlegemini.,user_887
65e26f1edf0509d4cae6891e,This is a positive synthetic tweet about #googlegemini.,user_198
65e26f1edf0509d4cae6891f,This is a negative synthetic tweet about #googlegemini.,user_40
65e26f1edf0509d4cae68920,This is a positive synthetic tweet about #googlegemini.,user_953
65e26f1edf0509d4cae68921,This is a neutral synthetic tweet about #googlegemini.,user_256
65e26f1edf0509d4cae68922,This is a negative synthetic tweet about #googlegemini.,user_284
65e26f1edf0509d4cae68923,This is a neutral synthetic tweet about #googlegemini.,user_767
65e26f1edf0509d4cae68924,This is a neutral synthetic tweet about #googlegemini.,user_790
65e26f1edf0509d4cae68925,This is a negative synthetic tweet about #googlegemini.,user_478
65e26f1edf0509d4cae68926,This is a neutral synthetic tweet about #googlegemini.,user_70
65e26f1edf0509d4cae68927,This is a neutral synthetic tweet about #googlegemini.,user_286
65e26f1edf0509d4cae68928,This is a positive synthetic tweet about #googlegemini.,user_87
65e26f1edf0509d4cae68929,This is a positive synthetic tweet about #googlegemini.,user_234
65e26f1edf0509d4cae6892a,This is a positive synthetic tweet about #googlegemini.,user_699
65e26f1edf0509d4cae6892b,This is a positive synthetic tweet about #googlegemini.,user_137
65e26f1edf0509d4cae6892c,This is a positive synthetic tweet about #googlegemini.,user_144
65e26f1edf0509d4cae6892d,This is a neutral synthetic tweet about #googlegemini.,user_621
65e26f1edf0509d4cae6892e,This is a positive synthetic tweet about #googlegemini.,user_45
65e26f1edf0509d4cae6892f,This is a negative synthetic tweet about #googlegemini.,user_73
65e26f1edf0509d4cae68930,This is a neutral synthetic tweet about #googlegemini.,user_446
65e26f1edf0509d4cae68931,This is a positive synthetic tweet about #googlegemini.,user_281
65e26f1edf0509d4cae68932,This is a positive synthetic tweet about #googlegemini.,user_356
65e26f1edf0509d4cae68933,This is a positive synthetic tweet about #googlegemini.,user_648
65e26f1edf0509d4cae68934,This is a neutral synthetic tweet about #googlegemini.,user_171
65e26f1edf0509d4cae68935,This is a neutral synthetic tweet about #googlegemini.,user_515
65e26f1edf0509d4cae68936,This is a negative synthetic tweet about #googlegemini.,user_810
65e26f1edf0509d4cae68937,This is a negative synthetic tweet about #googlegemini.,user_64
65e26f1edf0509d4cae68938,This is a negative synthetic tweet about #googlegemini.,user_420
65e26f1edf0509d4cae68939,This is a neutral synthetic tweet about #googlegemini.,user_313
65e26f1edf0509d4cae6893a,This is a negative synthetic tweet about #googlegemini.,user_651
65e26f1edf0509d4cae6893b,This is a positive synthetic tweet about #googlegemini.,user_345
65e26f1edf0509d4cae6893c,This is a negative synthetic tweet about #googlegemini.,user_638
65e26f1edf0509d4cae6893d,This is a neutral synthetic tweet about #googlegemini.,user_657
65e26f1edf0509d4cae6893e,This is a negative synthetic tweet about #googlegemini.,user_154
65e26f1edf0509d4cae6893f,This is a negative synthetic tweet about #googlegemini.,user_479
